price,bed,bath,acre_lot,city,zip_code,house_size,sold_date,county,cluster
649000,4,3,62,Plainfield,1070,2650,10/02/2014,Hampshire,dark purple
395000,4,1,0.3,Adams,1220,1360,26/12/1990,Berkshire,pink
289000,8,2,0.22,Pittsfield,1201,3278,29/01/1999,Berkshire,dark purple
289900,3,2,0.17,Dalton,1226,1376,16/07/1987,Berkshire,pink
239900,3,2,0.2,Pittsfield,1201,1572,07/01/2011,Berkshire,pink
539900,8,8,0.23,Pittsfield,1201,6120,02/03/1989,Berkshire,dark purple
184900,12,4,0.22,Pittsfield,1201,4200,04/02/1993,Berkshire,dark purple
185000,3,1,0.24,Lanesborough,1237,875,20/10/2006,Berkshire,pink
750000,4,1,46,Worthington,1098,2180,22/10/1996,Hampshire,pink
299999,3,2,0.23,Pittsfield,1201,1362,21/12/2005,Berkshire,pink
459900,3,2,0.75,Pittsfield,1201,2190,17/12/2004,Berkshire,pink
999000,4,4,196.1,Lanesborough,1237,3396,16/06/1999,Berkshire,purple
975000,5,4,58,Savoy,1256,4685,17/10/1995,Berkshire,dark purple
224900,2,2,0.18,Pittsfield,1201,1094,05/09/2007,Berkshire,pink
80000,2,1,0.34,Pittsfield,1201,791,01/09/2006,Berkshire,pink
99000,2,1,0.36,Adams,1220,1032,29/06/2005,Berkshire,pink
110000,3,2,0.11,Pittsfield,1201,1122,12/07/2001,Berkshire,pink
119900,4,2,0.06,Pittsfield,1201,1872,01/01/1981,Berkshire,pink
250000,3,2,0.3,Pittsfield,1201,1260,29/01/1999,Berkshire,pink
369900,8,7,0.13,Adams,1220,9516,06/07/1988,Berkshire,dark purple
99900,2,1,0.02,Adams,1220,640,04/11/1988,Berkshire,pink
279900,4,2,0.36,Pittsfield,1201,1610,22/10/2008,Berkshire,pink
299900,3,2,0.46,Pittsfield,1201,1536,12/09/2005,Berkshire,pink
229900,3,1,0.18,Pittsfield,1201,1080,20/01/2006,Berkshire,pink
475000,10,4,0.13,Pittsfield,1201,3736,01/10/2013,Berkshire,dark purple
169000,8,4,0.24,Pittsfield,1201,3344,30/04/1992,Berkshire,dark purple
269000,4,1,0.77,Pittsfield,1201,1644,03/02/2010,Berkshire,pink
199900,3,1,0.25,Adams,1220,1105,29/10/1992,Berkshire,pink
139900,1,1,0.25,Adams,1220,766,09/06/2006,Berkshire,pink
275000,4,2,0.2,Adams,1220,1846,02/10/2009,Berkshire,pink
209000,6,2,0.12,Pittsfield,1201,2664,01/04/1980,Berkshire,dark purple
189900,2,1,0.12,Pittsfield,1201,841,31/10/1997,Berkshire,pink
159900,3,2,0.23,Dalton,1226,1452,06/07/2001,Berkshire,pink
