,price,bed,bath,acre_lot,city,zip_code,house_size,sold_date,county
1395,639000.0,3.0,2.0,0.19,Wakefield,1880.0,1871.0,2000-08-31,Middlesex
1396,789000.0,2.0,1.0,0.02,Boston,2115.0,1004.0,2012-05-31,Suffolk
1397,619900.0,3.0,1.0,0.18,Stoneham,2180.0,1390.0,2003-07-25,Middlesex
1398,749900.0,3.0,2.0,0.07,Medford,2155.0,2098.0,2014-10-31,Middlesex
1399,1098306.0,4.0,3.0,0.27,Reading,1867.0,2838.0,2005-05-25,Middlesex
1400,1275000.0,8.0,4.0,0.09,Somerville,2144.0,3740.0,2006-09-01,Middlesex
1401,2400000.0,4.0,3.0,0.03,Boston,2129.0,2749.0,2008-03-14,Suffolk
1402,649900.0,4.0,4.0,0.46,Methuen,1844.0,3357.0,2006-05-16,Essex
1403,965000.0,3.0,2.0,0.09,Winchester,1890.0,1545.0,2001-09-28,Middlesex
1404,649995.0,3.0,3.0,0.2,Malden,2148.0,1500.0,2006-02-01,Middlesex
