,price,bed,bath,acre_lot,house_size,clusters,cluster
2679,1450000.0,4.0,5.0,1.0,4091.0,2,dark purple
2680,759000.0,2.0,3.0,0.35,2484.0,0,pink
2681,675000.0,3.0,4.0,0.56,2788.0,0,pink
2682,845000.0,4.0,3.0,0.44,2222.0,0,pink
2683,2249000.0,5.0,8.0,1.3,4350.0,2,dark purple
2684,599000.0,3.0,2.0,0.57,1409.0,0,pink
2685,735000.0,3.0,4.0,0.34,2244.0,0,pink
2686,669000.0,3.0,2.0,0.11,1364.0,0,pink
2687,839000.0,3.0,1.0,0.19,864.0,0,pink
2688,709900.0,3.0,1.0,1.66,1140.0,0,pink
2689,579000.0,4.0,2.0,0.46,2143.0,0,pink
2690,690000.0,2.0,3.0,0.23,2070.0,0,pink
2691,895000.0,3.0,2.0,0.32,1200.0,0,pink
2692,499000.0,3.0,2.0,0.83,1346.0,0,pink
2693,550000.0,3.0,2.0,0.67,1444.0,0,pink
2694,649900.0,3.0,3.0,0.53,2151.0,0,pink
2695,479900.0,2.0,2.0,0.57,1008.0,0,pink
2696,985000.0,3.0,3.0,0.44,2225.0,0,pink
2697,419000.0,3.0,1.0,0.48,1489.0,0,pink
2698,499000.0,3.0,2.0,0.52,1428.0,0,pink
2699,599900.0,4.0,2.0,0.6,1496.0,0,pink
2700,2999000.0,4.0,4.0,0.95,4500.0,2,dark purple
2701,550000.0,3.0,2.0,0.44,1428.0,0,pink
2702,645000.0,3.0,3.0,0.36,1940.0,0,pink
2703,1150000.0,3.0,3.0,0.44,2973.0,0,pink
2704,2000000.0,4.0,4.0,7.9,2900.0,2,dark purple
2705,659000.0,3.0,3.0,0.49,2337.0,0,pink
2706,599000.0,3.0,2.0,1.44,1804.0,0,pink
2707,655000.0,3.0,3.0,0.49,2048.0,0,pink
2708,839500.0,3.0,2.0,0.15,812.0,0,pink
2709,739000.0,4.0,3.0,0.96,2531.0,0,pink
2710,1349000.0,4.0,4.0,0.72,4485.0,2,dark purple
2711,6950000.0,7.0,7.0,1.34,6476.0,1,purple
2712,8795000.0,6.0,8.0,0.82,4884.0,1,purple
2713,5750000.0,6.0,9.0,7.39,5548.0,1,purple
2714,3195000.0,4.0,3.0,3.28,4200.0,2,dark purple
2715,4800000.0,5.0,4.0,2.96,3198.0,2,dark purple
2716,699000.0,2.0,1.0,0.55,423.0,0,pink
2717,1650000.0,1.0,2.0,0.18,1046.0,0,pink
2718,3100000.0,4.0,7.0,2.2,5700.0,2,dark purple
2719,693000.0,1.0,1.0,0.68,544.0,0,pink
2720,699900.0,3.0,2.0,0.75,1660.0,0,pink
2721,825000.0,3.0,2.0,0.51,1534.0,0,pink
2722,1395000.0,3.0,2.0,0.55,1794.0,0,pink
2723,645000.0,3.0,3.0,0.34,1872.0,0,pink
2724,799900.0,3.0,2.0,0.51,1460.0,0,pink
2725,600000.0,4.0,2.0,0.46,2050.0,0,pink
2726,690000.0,3.0,2.0,0.71,1802.0,0,pink
2727,665000.0,3.0,2.0,0.62,1544.0,0,pink
2728,1160000.0,4.0,2.0,0.3,1808.0,0,pink
2729,4125000.0,5.0,6.0,0.53,5421.0,2,dark purple
2730,385000.0,1.0,2.0,0.13,912.0,0,pink
2731,549900.0,3.0,3.0,0.36,2136.0,0,pink
2732,3750000.0,3.0,5.0,0.43,3090.0,2,dark purple
2733,899000.0,3.0,2.0,0.21,960.0,0,pink
2734,1069000.0,3.0,2.0,0.12,1152.0,0,pink
2735,2699000.0,4.0,3.0,0.29,2200.0,2,dark purple
2736,499900.0,3.0,3.0,0.39,1640.0,0,pink
2737,8900000.0,5.0,6.0,0.79,4569.0,1,purple
2738,974900.0,3.0,2.0,0.4,1260.0,0,pink
2739,1275000.0,3.0,3.0,0.28,2500.0,0,pink
2740,7995000.0,3.0,5.0,1.47,4458.0,1,purple
2741,1495000.0,3.0,3.0,0.28,2145.0,0,pink
2742,469000.0,2.0,1.0,0.12,936.0,0,pink
2743,279900.0,3.0,1.0,0.29,1056.0,0,pink
2744,18500000.0,8.0,12.0,6.11,10027.0,1,purple
2745,689000.0,3.0,2.0,1.92,1566.0,0,pink
