,price,bed,bath,acre_lot,city,zip_code,house_size,sold_date
106271,779900.0,1.0,1.0,0.02,Boston,2118.0,768.0,2004-08-16
106296,599000.0,3.0,1.0,0.03,Boston,2119.0,1362.0,2002-01-28
106299,965000.0,6.0,2.0,0.13,Boston,2132.0,3501.0,2002-01-23
106340,600000.0,2.0,2.0,0.17,Boston,2131.0,1300.0,1995-12-22
106360,1999999.0,5.0,5.0,0.2,Needham,2494.0,4314.0,2006-01-31
106368,819900.0,4.0,3.0,1.0,North Andover,1845.0,2492.0,1995-08-01
106393,829000.0,2.0,1.0,0.02,Boston,2115.0,803.0,2013-05-31
106695,539900.0,3.0,2.0,0.94,Sharon,2067.0,1080.0,2006-06-07
106708,494000.0,2.0,1.0,0.24,Norwood,2062.0,710.0,1992-07-21
106713,564900.0,5.0,2.0,0.07,Boston,2124.0,1671.0,2004-02-09
106719,825000.0,5.0,5.0,0.64,Canton,2021.0,2814.0,2001-07-16
106761,599900.0,2.0,2.0,0.02,Chelsea,2150.0,1712.0,1994-07-06
106763,519000.0,2.0,1.0,0.02,Boston,2128.0,787.0,2012-01-06
106844,499289.0,2.0,2.0,0.07,Woburn,1801.0,864.0,2007-01-12
106884,549900.0,3.0,2.0,0.11,Andover,1810.0,1000.0,2008-09-15
106960,769900.0,4.0,3.0,0.92,Dracut,1826.0,2728.0,2004-09-15
106964,434900.0,3.0,1.0,0.51,Dracut,1826.0,1218.0,1992-11-30
106985,579900.0,4.0,3.0,0.35,Haverhill,1830.0,3284.0,2002-06-28
106989,474000.0,3.0,2.0,0.17,Haverhill,1830.0,2000.0,2008-10-22
106990,529900.0,3.0,3.0,0.54,Haverhill,1830.0,2322.0,2006-09-29
106992,399999.0,4.0,3.0,0.28,Haverhill,1830.0,1482.0,2002-06-03
106995,609000.0,3.0,3.0,0.2,Haverhill,1830.0,1824.0,1997-01-23
106996,369900.0,3.0,1.0,0.44,Haverhill,1830.0,1096.0,1999-08-20
107636,669900.0,3.0,3.0,0.23,Methuen,1844.0,2228.0,2000-02-09
107707,269900.0,2.0,1.0,0.35,Methuen,1844.0,1008.0,2006-12-28
107716,509900.0,4.0,1.0,0.23,Tewksbury,1876.0,1205.0,2006-08-30
108307,2695000.0,5.0,5.0,3.63,Westwood,2090.0,6499.0,1988-01-22
108347,3930000.0,7.0,8.0,0.69,Lexington,2420.0,8257.0,2008-05-06
108480,2750000.0,5.0,6.0,1.84,Westwood,2090.0,7840.0,1992-06-30
108588,8000000.0,7.0,11.0,74.36,Westwood,2090.0,10600.0,2002-06-12
108610,3795000.0,3.0,4.0,0.06,Boston,2111.0,2707.0,2008-07-21
108662,359900.0,2.0,2.0,0.02,Boston,2125.0,936.0,1999-04-01
108707,780000.0,5.0,4.0,0.06,Boston,2125.0,2016.0,2005-08-18
108720,1000000.0,6.0,3.0,0.16,Revere,2151.0,4371.0,1989-10-31
108756,950000.0,4.0,2.0,0.03,Boston,2111.0,1295.0,2005-02-02
108789,449000.0,2.0,1.0,0.02,Boston,2127.0,915.0,2010-03-23
108807,4495000.0,2.0,3.0,0.05,Boston,2116.0,2258.0,2004-08-24
108819,1290000.0,3.0,2.0,0.05,Boston,2109.0,2226.0,2005-04-29
108829,1085000.0,6.0,3.0,0.07,Boston,2125.0,3008.0,2000-05-01
108843,895000.0,1.0,1.0,0.02,Boston,2116.0,725.0,2018-08-15
108871,679000.0,1.0,2.0,0.03,Boston,2111.0,1286.0,2005-09-30
